"Feature","Description"
"MEDICAID_MED_NEEDY","Medicaid eligibility as medically needy"
"MEDICAID_MANAGED_CARE","Enrolled in Medicaid managed care"
"MEDICAID_PREM_PAYMENT","Enrolled in Medicaid premium payment plan"
"MEDICAID_PAYER_BHDDH","Medicaid payer code is BHDDH"
"MEDICAID_PAYER_CMAP","Enrolled in RI Community Medication Assistance Program"
"MEDICAID_PAYER_DOC","Medicaid payer code is Department of Corrections"
"MEDICAID_PAYER_AIDS","Medicaid payer code is Ryan White AIDS Drug Assistance Program"
"MEDICAID_PAYER_ORS","Medicaid payer code is ORS"
"MEDICAID_PAYER_RIPAE","Enrolled in RI Pharmaceutical Assistance to the Elderly"
"ASHP_04040000","Prescription for 'First Generation Antihistamines'"
"ASHP_04080000","Prescription for 'Second Generation Antihistamines'"
"ASHP_08080000","Prescription for 'Anthelmintics'"
"ASHP_08120200","Prescription for 'Aminoglycosides'"
"ASHP_08120604","Prescription for 'First Generation Cephalosporins'"
"ASHP_08120608","Prescription for 'Second Generation Cephalosporins'"
"ASHP_08120612","Prescription for 'Third Generation Cephalosporins'"
"ASHP_08120616","Prescription for 'Fourth Generation Cephalosporins'"
"ASHP_08120700","Prescription for 'Miscellaneous beta-Lactams'"
"ASHP_08120708","Prescription for 'Carbapenems'"
"ASHP_08120712","Prescription for 'Cephamycins'"
"ASHP_08120716","Prescription for 'Monobactams'"
"ASHP_08121200","Prescription for 'Macrolides'"
"ASHP_08121212","Prescription for 'Ketolides'"
"ASHP_08121292","Prescription for 'Other Macrolides'"
"ASHP_08121600","Prescription for 'Penicillins'"
"ASHP_08121608","Prescription for 'Aminopenicillins'"
"ASHP_08121616","Prescription for 'Extended-spectrum Penicillins'"
"ASHP_08121800","Prescription for 'Quinolones'"
"ASHP_08122000","Prescription for 'Sulfonamides'"
"ASHP_08122400","Prescription for 'Tetracyclines'"
"ASHP_08122412","Prescription for 'Glycylcyclines'"
"ASHP_08122808","Prescription for 'Bacitracins'"
"ASHP_08122812","Prescription for 'Cyclic Lipopeptides'"
"ASHP_08122816","Prescription for 'Glycopeptides'"
"ASHP_08122820","Prescription for 'Lincomycins'"
"ASHP_08122830","Prescription for 'Rifamycins'"
"ASHP_08140000","Prescription for 'Antifungals'"
"ASHP_08140400","Prescription for 'Allylamines'"
"ASHP_08140800","Prescription for 'Azoles'"
"ASHP_08141600","Prescription for 'Echinocandins'"
"ASHP_08142800","Prescription for 'Polyenes'"
"ASHP_08143200","Prescription for 'Pyrimidines'"
"ASHP_08149200","Prescription for 'Antifungals, Miscellaneous'"
"ASHP_08160400","Prescription for 'Antituberculosis Agents'"
"ASHP_08169200","Prescription for 'Antimycobacterials, Miscellaneous'"
"ASHP_08180400","Prescription for 'Adamantanes'"
"ASHP_08180804","Prescription for 'HIV Entry and Fusion Inhibitors'"
"ASHP_08180808","Prescription for 'HIV Protease Inhibitors'"
"ASHP_08180812","Prescription for 'HIV Integrase Inhibitors'"
"ASHP_08180816","Prescription for 'HIV Nonnucleoside Reverse Transcriptase Inhibitors'"
"ASHP_08180820","Prescription for 'HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors'"
"ASHP_08182000","Prescription for 'Interferons'"
"ASHP_08182400","Prescription for 'Monoclonal Antibodies'"
"ASHP_08182800","Prescription for 'Neuraminidase Inhibitors'"
"ASHP_08183200","Prescription for 'Nucleosides and Nucleotides'"
"ASHP_08184020","Prescription for 'HCV Protease Inhibitors'"
"ASHP_08189200","Prescription for 'Antivirals, Miscellaneous'"
"ASHP_08300400","Prescription for 'Amebicides'"
"ASHP_08300800","Prescription for 'Antimalarials'"
"ASHP_08309200","Prescription for 'Antiprotozoals, Miscellaneous'"
"ASHP_08360000","Prescription for 'Urinary Anti-infectives'"
"ASHP_10000000","Prescription for 'Antineoplastic Agents'"
"ASHP_12040000","Prescription for 'Parasympathomimetic (Cholinergic) Agents'"
"ASHP_12080800","Prescription for 'Antimuscarinics/Antispasmodics'"
"ASHP_12120400","Prescription for 'alpha-Adrenergic Agonists'"
"ASHP_12120812","Prescription for 'Selective beta-2-Adrenergic Agonists'"
"ASHP_12121200","Prescription for 'alpha- and beta-Adrenergic Agonists'"
"ASHP_12160404","Prescription for 'Non-selective alpha-Adrenergic Blocking Agents'"
"ASHP_12160412","Prescription for 'Selective alpha-1-Adrenergic Blocking Agents'"
"ASHP_12200400","Prescription for 'Centrally Acting Skeletal Muscle Relaxants'"
"ASHP_12200800","Prescription for 'Direct-acting Skeletal Muscle Relaxants'"
"ASHP_12201200","Prescription for 'GABA-derivative Skeletal Muscle Relaxants'"
"ASHP_12209200","Prescription for 'Skeletal Muscle Relaxants, Miscellaneous'"
"ASHP_12920000","Prescription for 'Autonomic Drugs, Miscellaneous'"
"ASHP_20040400","Prescription for 'Iron Preparations'"
"ASHP_20120408","Prescription for 'Coumarin Derivatives'"
"ASHP_20120412","Prescription for 'Direct Thrombin Inhibitors'"
"ASHP_20120414","Prescription for 'Direct Factor Xa Inhibitors'"
"ASHP_20120416","Prescription for 'Heparins'"
"ASHP_20121400","Prescription for 'Platelet-reducing Agents'"
"ASHP_20121800","Prescription for 'Platelet-aggregation Inhibitors'"
"ASHP_20122000","Prescription for 'Thrombolytic Agents'"
"ASHP_20160000","Prescription for 'Hematopoietic Agents'"
"ASHP_20240000","Prescription for 'Hemorrheologic Agents'"
"ASHP_20281600","Prescription for 'Hemostatics'"
"ASHP_24040404","Prescription for 'Class Ia Antiarrhythmics'"
"ASHP_24040408","Prescription for 'Class Ib Antiarrhythmics'"
"ASHP_24040412","Prescription for 'Class Ic Antiarrhythmics'"
"ASHP_24040420","Prescription for 'Class III Antiarrhythmics'"
"ASHP_24040800","Prescription for 'Cardiotonic Agents'"
"ASHP_24049200","Prescription for 'Cardiac Drugs, Miscellaneous'"
"ASHP_24060400","Prescription for 'Bile Acid Sequestrants'"
"ASHP_24060500","Prescription for 'Cholesterol Absorption Inhibitors'"
"ASHP_24060600","Prescription for 'Fibric Acid Derivatives'"
"ASHP_24060800","Prescription for 'HMG-CoA Reductase Inhibitors'"
"ASHP_24069200","Prescription for 'Antilipemic Agents, Miscellaneous'"
"ASHP_24081600","Prescription for 'Central alpha-Agonists'"
"ASHP_24082000","Prescription for 'Direct Vasodilators'"
"ASHP_24120800","Prescription for 'Nitrates and Nitrites'"
"ASHP_24121200","Prescription for 'Phosphodiesterase Type 5 Inhibitors'"
"ASHP_24129200","Prescription for 'Vasodilating Agents, Miscellaneous'"
"ASHP_24160000","Prescription for 'Sclerosing Agents'"
"ASHP_24200000","Prescription for 'alpha-Adrenergic Blocking Agents'"
"ASHP_24240000","Prescription for 'beta-Adrenergic Blocking Agents'"
"ASHP_24280800","Prescription for 'Dihydropyridines'"
"ASHP_24289200","Prescription for 'Calcium-Channel Blocking Agents, Miscellaneous'"
"ASHP_24320400","Prescription for 'Angiotensin-Converting Enzyme Inhibitors'"
"ASHP_24320800","Prescription for 'Angiotensin II Receptor Antagonists'"
"ASHP_24322000","Prescription for 'Mineralocorticoid (Aldosterone) Receptor Antagonists'"
"ASHP_24324000","Prescription for 'Renin Inhibitors'"
"ASHP_28080400","Prescription for 'Nonsteroidal Anti-inflammatory Agents'"
"ASHP_28080408","Prescription for 'Cyclooxygenase-2 (COX-2) Inhibitors'"
"ASHP_28080424","Prescription for 'Salicylates'"
"ASHP_28080492","Prescription for 'Other Nonsteroidal Anti-inflammatory Agents'"
"ASHP_28080800","Prescription for 'Opiate Agonists'"
"ASHP_28081200","Prescription for 'Opiate Partial Agonists'"
"ASHP_28089200","Prescription for 'Analgesics and Antipyretics, Miscellaneous'"
"ASHP_28100000","Prescription for 'Opiate Antagonists'"
"ASHP_28120400","Prescription for 'Barbiturates'"
"ASHP_28120800","Prescription for 'Benzodiazepines'"
"ASHP_28121200","Prescription for 'Hydantoins'"
"ASHP_28122000","Prescription for 'Succinimides'"
"ASHP_28129200","Prescription for 'Anticonvulsants, Miscellaneous'"
"ASHP_28160412","Prescription for 'Monoamine Oxidase Inhibitors'"
"ASHP_28160416","Prescription for 'Selective Serotonin- and Norepinephrine-reuptake Inhibitors'"
"ASHP_28160420","Prescription for 'Selective Serotonin-reuptake Inhibitors'"
"ASHP_28160424","Prescription for 'Serotonin Modulators'"
"ASHP_28160428","Prescription for 'Tricyclics and Other Norepinephrine-reuptake Inhibitors'"
"ASHP_28160492","Prescription for 'Antidepressants, Miscellaneous'"
"ASHP_28160804","Prescription for 'Atypical Antipsychotics'"
"ASHP_28160808","Prescription for 'Butyrophenones'"
"ASHP_28160824","Prescription for 'Phenothiazines'"
"ASHP_28160832","Prescription for 'Thioxanthenes'"
"ASHP_28160892","Prescription for 'Antipsychotics, Miscellaneous'"
"ASHP_28200400","Prescription for 'Amphetamines'"
"ASHP_28200804","Prescription for 'Amphetamine Derivatives'"
"ASHP_28200892","Prescription for 'Anorexigenic Agents, Miscellaneous'"
"ASHP_28203200","Prescription for 'Respiratory and CNS Stimulants'"
"ASHP_28208000","Prescription for 'Wakefulness-promoting Agents'"
"ASHP_28240400","Prescription for 'Barbiturates'"
"ASHP_28240800","Prescription for 'Benzodiazepines'"
"ASHP_28249200","Prescription for 'Anxiolytics, Sedatives, and Hypnotics; Miscellaneous'"
"ASHP_28280000","Prescription for 'Antimanic Agents'"
"ASHP_28322800","Prescription for 'Selective Serotonin Agonists'"
"ASHP_28360400","Prescription for 'Adamantanes'"
"ASHP_28360800","Prescription for 'Anticholinergic Agents'"
"ASHP_28361200","Prescription for 'Catechol-O-Methyltransferase (COMT) Inhibitors'"
"ASHP_28361600","Prescription for 'Dopamine Precursors'"
"ASHP_28362004","Prescription for 'Ergot-derivative Dopamine Receptor Agonists'"
"ASHP_28362008","Prescription for 'Nonergot-derivative Dopamine Receptor Agonists'"
"ASHP_28363200","Prescription for 'Monoamine Oxidase B Inhibitors'"
"ASHP_28400000","Prescription for 'Fibromyalgia Agents'"
"ASHP_28560000","Prescription for 'Vesicular Monoamine Transporter 2 (VMAT2) Inhibitors'"
"ASHP_28920000","Prescription for 'Central Nervous System Agents, Miscellaneous'"
"ASHP_36610000","Prescription for 'Pancreatic Function'"
"ASHP_36660000","Prescription for 'Pituitary Function'"
"ASHP_36840000","Prescription for 'Tuberculosis'"
"ASHP_40080000","Prescription for 'Alkalinizing Agents'"
"ASHP_40100000","Prescription for 'Ammonia Detoxicants'"
"ASHP_40120000","Prescription for 'Replacement Preparations'"
"ASHP_40181800","Prescription for 'Potassium-removing Agents'"
"ASHP_40181900","Prescription for 'Phosphate-removing Agents'"
"ASHP_40200000","Prescription for 'Caloric Agents'"
"ASHP_40280400","Prescription for 'Carbonic Anhydrase Inhibitors'"
"ASHP_40280800","Prescription for 'Loop Diuretics'"
"ASHP_40281200","Prescription for 'Osmotic Diuretics'"
"ASHP_40281600","Prescription for 'Potassium-sparing Diuretics'"
"ASHP_40282000","Prescription for 'Thiazide Diuretics'"
"ASHP_40282400","Prescription for 'Thiazide-like Diuretics'"
"ASHP_40282800","Prescription for 'Vasopressin Antagonists'"
"ASHP_40360000","Prescription for 'Irrigating Solutions'"
"ASHP_40400000","Prescription for 'Uricosuric Agents'"
"ASHP_44000000","Prescription for 'Enzymes'"
"ASHP_48080000","Prescription for 'Antitussives'"
"ASHP_48102400","Prescription for 'Leukotriene Modifiers'"
"ASHP_48103200","Prescription for 'Mast-cell Stabilizers'"
"ASHP_48160000","Prescription for 'Expectorants'"
"ASHP_48240000","Prescription for 'Mucolytic Agents'"
"ASHP_48320000","Prescription for 'Phosphodiesterase Type 4 Inhibitors'"
"ASHP_48480000","Prescription for 'Vasodilating Agents'"
"ASHP_48920000","Prescription for 'Respiratory Tract Agents, Miscellaneous'"
"ASHP_52020000","Prescription for 'Antiallergic Agents'"
"ASHP_52040400","Prescription for 'Antibacterials'"
"ASHP_52041200","Prescription for 'Anti-infectives, Miscellaneous'"
"ASHP_52041600","Prescription for 'Antifungals'"
"ASHP_52042000","Prescription for 'Antivirals'"
"ASHP_52049200","Prescription for 'Anti-infectives, Miscellaneous'"
"ASHP_52080800","Prescription for 'Corticosteroids'"
"ASHP_52082000","Prescription for 'Nonsteroidal Anti-inflammatory Agents'"
"ASHP_52089200","Prescription for 'Anti-inflammatory Agents, Miscellaneous'"
"ASHP_52120000","Prescription for 'Contact Lens Solutions'"
"ASHP_52160000","Prescription for 'Local Anesthetics'"
"ASHP_52240000","Prescription for 'Mydriatics'"
"ASHP_52280000","Prescription for 'Mouthwashes and Gargles'"
"ASHP_52320000","Prescription for 'Vasoconstrictors'"
"ASHP_52400400","Prescription for 'alpha-Adrenergic Agonists'"
"ASHP_52400800","Prescription for 'beta-Adrenergic Blocking Agents'"
"ASHP_52401200","Prescription for 'Carbonic Anhydrase Inhibitors'"
"ASHP_52402000","Prescription for 'Miotics'"
"ASHP_52402800","Prescription for 'Prostaglandin Analogs'"
"ASHP_52920000","Prescription for 'EENT Drugs, Miscellaneous'"
"ASHP_56040000","Prescription for 'Antacids and Adsorbents'"
"ASHP_56080000","Prescription for 'Antidiarrhea Agents'"
"ASHP_56100000","Prescription for 'Antiflatulents'"
"ASHP_56120000","Prescription for 'Cathartics and Laxatives'"
"ASHP_56140000","Prescription for 'Cholelitholytic Agents'"
"ASHP_56160000","Prescription for 'Digestants'"
"ASHP_56220800","Prescription for 'Antihistamines'"
"ASHP_56222000","Prescription for '5-HT3 Receptor Antagonists'"
"ASHP_56223200","Prescription for 'Neurokinin-1 Receptor Antagonists'"
"ASHP_56229200","Prescription for 'Antiemetics, Miscellaneous'"
"ASHP_56281200","Prescription for 'Histamine H2-Antagonists'"
"ASHP_56282800","Prescription for 'Prostaglandins'"
"ASHP_56283200","Prescription for 'Protectants'"
"ASHP_56283600","Prescription for 'Proton-pump Inhibitors'"
"ASHP_56320000","Prescription for 'Prokinetic Agents'"
"ASHP_56360000","Prescription for 'Anti-inflammatory Agents'"
"ASHP_56920000","Prescription for 'GI Drugs, Miscellaneous'"
"ASHP_60000000","Prescription for 'Gold Compounds'"
"ASHP_64000000","Prescription for 'Heavy Metal Antagonists'"
"ASHP_68040000","Prescription for 'Adrenals'"
"ASHP_68080000","Prescription for 'Androgens'"
"ASHP_68120000","Prescription for 'Contraceptives'"
"ASHP_68160400","Prescription for 'Estrogens'"
"ASHP_68160800","Prescription for 'Antiestrogens'"
"ASHP_68161200","Prescription for 'Estrogen Agonists-Antagonists'"
"ASHP_68180800","Prescription for 'Gonadotropins'"
"ASHP_68200200","Prescription for 'alpha-Glucosidase Inhibitors'"
"ASHP_68200300","Prescription for 'Amylinomimetics'"
"ASHP_68200400","Prescription for 'Biguanides'"
"ASHP_68200500","Prescription for 'Dipeptidyl Peptidase-4 (DPP-4) Inhibitors'"
"ASHP_68200600","Prescription for 'Incretin Mimetics'"
"ASHP_68200800","Prescription for 'Insulins'"
"ASHP_68201600","Prescription for 'Meglitinides'"
"ASHP_68202000","Prescription for 'Sulfonylureas'"
"ASHP_68202800","Prescription for 'Thiazolidinediones'"
"ASHP_68221200","Prescription for 'Glycogenolytic Agents'"
"ASHP_68229200","Prescription for 'Antihypoglycemic Agents, Miscellaneous'"
"ASHP_68240000","Prescription for 'Parathyroid and Antiparathyroid Agents'"
"ASHP_68240400","Prescription for 'Antiparathyroid Agents'"
"ASHP_68240800","Prescription for 'Parathyroid Agents'"
"ASHP_68280000","Prescription for 'Pituitary'"
"ASHP_68290400","Prescription for 'Somatostatin Agonists'"
"ASHP_68320000","Prescription for 'Progestins'"
"ASHP_68360400","Prescription for 'Thyroid Agents'"
"ASHP_68360800","Prescription for 'Antithyroid Agents'"
"ASHP_72000000","Prescription for 'Local Anesthetics'"
"ASHP_76000000","Prescription for 'Oxytocics'"
"ASHP_80040000","Prescription for 'Antitoxins and Immune Globulins'"
"ASHP_80080000","Prescription for 'Toxoids'"
"ASHP_80120000","Prescription for 'Vaccines'"
"ASHP_84000000","Prescription for 'Skin and Mucous Membrane Agents'"
"ASHP_84040400","Prescription for 'Antibacterials'"
"ASHP_84040600","Prescription for 'Antivirals'"
"ASHP_84040800","Prescription for 'Antifungals'"
"ASHP_84040804","Prescription for 'Allylamines'"
"ASHP_84040808","Prescription for 'Azoles'"
"ASHP_84040812","Prescription for 'Benzylamines'"
"ASHP_84040820","Prescription for 'Hydroxypyridones'"
"ASHP_84040828","Prescription for 'Polyenes'"
"ASHP_84040840","Prescription for 'Thiocarbamates'"
"ASHP_84040892","Prescription for 'Antifungals, Miscellaneous'"
"ASHP_84041200","Prescription for 'Scabicides and Pediculicides'"
"ASHP_84049200","Prescription for 'Local Anti-infectives, Miscellaneous'"
"ASHP_84060000","Prescription for 'Anti-inflammatory Agents'"
"ASHP_84080000","Prescription for 'Antipruritics and Local Anesthetics'"
"ASHP_84120000","Prescription for 'Astringents'"
"ASHP_84160000","Prescription for 'Cell Stimulants and Proliferants'"
"ASHP_84240000","Prescription for 'Emollients, Demulcents, and Protectants'"
"ASHP_84241200","Prescription for 'Basic Ointments and Protectants'"
"ASHP_84280000","Prescription for 'Keratolytic Agents'"
"ASHP_84320000","Prescription for 'Keratoplastic Agents'"
"ASHP_84500400","Prescription for 'Depigmenting Agents'"
"ASHP_84500600","Prescription for 'Pigmenting Agents'"
"ASHP_84800000","Prescription for 'Sunscreen Agents'"
"ASHP_84920000","Prescription for 'Skin and Mucous Membrane Agents, Miscellaneous'"
"ASHP_86120400","Prescription for 'Antimuscarinics'"
"ASHP_86160000","Prescription for 'Respiratory Smooth Muscle Relaxants'"
"ASHP_88040000","Prescription for 'Vitamin A'"
"ASHP_88080000","Prescription for 'Vitamin B Complex'"
"ASHP_88120000","Prescription for 'Vitamin C'"
"ASHP_88160000","Prescription for 'Vitamin D'"
"ASHP_88200000","Prescription for 'Vitamin E'"
"ASHP_88240000","Prescription for 'Vitamin K Activity'"
"ASHP_88280000","Prescription for 'Multivitamin Preparations'"
"ASHP_92040000","Prescription for 'Alcohol Deterrents'"
"ASHP_92080000","Prescription for '5-alpha-Reductase Inhibitors'"
"ASHP_92120000","Prescription for 'Antidotes'"
"ASHP_92160000","Prescription for 'Antigout Agents'"
"ASHP_92200000","Prescription for 'Immunomodulatory Agents'"
"ASHP_92240000","Prescription for 'Bone Resorption Inhibitors'"
"ASHP_92280000","Prescription for 'Cariostatic Agents'"
"ASHP_92360000","Prescription for 'Disease-modifying Antirheumatic Drugs'"
"ASHP_92440000","Prescription for 'Immunosuppressive Agents'"
"ASHP_92560000","Prescription for 'Protective Agents'"
"ASHP_92920000","Prescription for 'Other Miscellaneous Therapeutic Agents'"
"ASHP_94000000","Prescription for 'Devices'"
"ASHP_96000000","Prescription for 'Pharmaceutical Aids'"
"ASHP_99990000","Prescription for unknown drug category"
"ASHP_MISSING","Prescription for unknown drug category"
"ASHP_36040000_48141200_68201800_86120812_56289200_28160800_48140400_52200000_28200832","Prescription for 'Adrenocortical Insufficiency' and related drugs"
"ASHP_08184024_08184016","Prescription for 'HCV Replication Complex Inhibitors' and related drugs"
"MEDICAID_PROC_A1","Procedure for 'Anesthesia: head'"
"MEDICAID_PROC_A10","Procedure for 'Anesthesia: upper leg (except knee)'"
"MEDICAID_PROC_A11","Procedure for 'Anesthesia: knee and popliteal area'"
"MEDICAID_PROC_A12","Procedure for 'Anesthesia: lower leg (below knee)'"
"MEDICAID_PROC_A13","Procedure for 'Anesthesia: shoulder and axillary'"
"MEDICAID_PROC_A14","Procedure for 'Anesthesia: upper arm and elbow'"
"MEDICAID_PROC_A15","Procedure for 'Anesthesia: forearm, wrist and hand'"
"MEDICAID_PROC_A16","Procedure for 'Anesthesia: radiological procedures'"
"MEDICAID_PROC_A17","Procedure for 'Anesthesia: burn excisions or debridement'"
"MEDICAID_PROC_A18","Procedure for 'Anesthesia: obstetric'"
"MEDICAID_PROC_A19","Procedure for 'Anesthesia: other'"
"MEDICAID_PROC_A2","Procedure for 'Anesthesia: neck'"
"MEDICAID_PROC_A20","Procedure for 'Anesthesia: qualifying circumstances'"
"MEDICAID_PROC_A21","Procedure for 'Anesthesia: moderate (conscious) sedation'"
"MEDICAID_PROC_A3","Procedure for 'Anesthesia: thorax'"
"MEDICAID_PROC_A4","Procedure for 'Anesthesia: intrathoracic'"
"MEDICAID_PROC_A5","Procedure for 'Anesthesia: spine and spinal cord'"
"MEDICAID_PROC_A6","Procedure for 'Anesthesia: upper abdomen'"
"MEDICAID_PROC_A7","Procedure for 'Anesthesia: lower abdomen'"
"MEDICAID_PROC_A8","Procedure for 'Anesthesia: perineum'"
"MEDICAID_PROC_A9","Procedure for 'Anesthesia: pelvis (except hip)'"
"MEDICAID_PROC_DME","Procedure for 'Durable medical equipment'"
"MEDICAID_PROC_EM1","Procedure for 'Office outpatient visit'"
"MEDICAID_PROC_EM10","Procedure for 'Home visit'"
"MEDICAID_PROC_EM11","Procedure for 'Prolonged services'"
"MEDICAID_PROC_EM12","Procedure for 'Medical team conference'"
"MEDICAID_PROC_EM13","Procedure for 'Hospice case'"
"MEDICAID_PROC_EM14","Procedure for 'Preventive medicine'"
"MEDICAID_PROC_EM15","Procedure for 'Non-face-to-face physician'"
"MEDICAID_PROC_EM16","Procedure for 'Disability evaluation'"
"MEDICAID_PROC_EM17","Procedure for 'Newborn care'"
"MEDICAID_PROC_EM18","Procedure for 'Inpatient neonatal intensive care'"
"MEDICAID_PROC_EM2","Procedure for 'Hospital observation'"
"MEDICAID_PROC_EM20","Procedure for 'Transitional care management'"
"MEDICAID_PROC_EM21","Procedure for 'Other evaluation and management'"
"MEDICAID_PROC_EM22","Procedure for 'Habilitation'"
"MEDICAID_PROC_EM3","Procedure for 'Hospital inpatient visit'"
"MEDICAID_PROC_EM4","Procedure for 'Consultation'"
"MEDICAID_PROC_EM5","Procedure for 'Emergency department'"
"MEDICAID_PROC_EM6","Procedure for 'Critical care'"
"MEDICAID_PROC_EM7","Procedure for 'Nursing facility care'"
"MEDICAID_PROC_EM8","Procedure for 'Rest home care'"
"MEDICAID_PROC_EM9","Procedure for 'Case management'"
"MEDICAID_PROC_M1","Procedure for 'Immune globulins'"
"MEDICAID_PROC_M10","Procedure for 'Pulmonary medicine'"
"MEDICAID_PROC_M11","Procedure for 'Allergy and clinical immunology'"
"MEDICAID_PROC_M12","Procedure for 'Endocrinology'"
"MEDICAID_PROC_M13","Procedure for 'Neurology and neuromuscular procedures'"
"MEDICAID_PROC_M14","Procedure for 'Central nervous system assessments'"
"MEDICAID_PROC_M15","Procedure for 'Health and behavior assessments and interventions'"
"MEDICAID_PROC_M16","Procedure for 'Injections and infusions (including chemotherapy)'"
"MEDICAID_PROC_M17","Procedure for 'Photodynamic therapy'"
"MEDICAID_PROC_M18","Procedure for 'Special dermatological procedures'"
"MEDICAID_PROC_M19","Procedure for 'Physical medicine and rehabilitation'"
"MEDICAID_PROC_M2","Procedure for 'Immunizations'"
"MEDICAID_PROC_M20","Procedure for 'Medical nutrition therapy'"
"MEDICAID_PROC_M21","Procedure for 'Acupuncture'"
"MEDICAID_PROC_M22","Procedure for 'Osteopathic manipulative treatment'"
"MEDICAID_PROC_M23","Procedure for 'Chiropractic manipulative treatment'"
"MEDICAID_PROC_M24","Procedure for 'Education and training for patient self-management'"
"MEDICAID_PROC_M26","Procedure for 'Other medical services'"
"MEDICAID_PROC_M27","Procedure for 'Home health medicine'"
"MEDICAID_PROC_M29","Procedure for 'Substance use disorder treatment'"
"MEDICAID_PROC_M3","Procedure for 'Psychiatry'"
"MEDICAID_PROC_M30","Procedure for 'Dental'"
"MEDICAID_PROC_M4","Procedure for 'Biofeedback'"
"MEDICAID_PROC_M5","Procedure for 'Dialysis'"
"MEDICAID_PROC_M6","Procedure for 'Gastroenterology'"
"MEDICAID_PROC_M7","Procedure for 'Ophthalmology and audiology'"
"MEDICAID_PROC_M8","Procedure for 'Cardiovascular'"
"MEDICAID_PROC_M9","Procedure for 'Noninvasive vascular diagnostic studies'"
"MEDICAID_PROC_PL1","Procedure for 'Organ or disease-oriented panels'"
"MEDICAID_PROC_PL10","Procedure for 'Transfusion medicine'"
"MEDICAID_PROC_PL11","Procedure for 'Microbiology'"
"MEDICAID_PROC_PL12","Procedure for 'Anatomic pathology (postmortem)'"
"MEDICAID_PROC_PL13","Procedure for 'Cytopathology'"
"MEDICAID_PROC_PL14","Procedure for 'Cytogenetic studies'"
"MEDICAID_PROC_PL15","Procedure for 'Surgical pathology'"
"MEDICAID_PROC_PL16","Procedure for 'On vivo (transcutaneous) lab procedures'"
"MEDICAID_PROC_PL17","Procedure for 'Other pathology or laboratory services'"
"MEDICAID_PROC_PL18","Procedure for 'Reproductive medicine'"
"MEDICAID_PROC_PL2","Procedure for 'Drug testing'"
"MEDICAID_PROC_PL3","Procedure for 'Therapeutic drug assays'"
"MEDICAID_PROC_PL4","Procedure for 'Evocative/suppression testing'"
"MEDICAID_PROC_PL5","Procedure for 'Consultations (clinical pathology)'"
"MEDICAID_PROC_PL6","Procedure for 'Urinalysis'"
"MEDICAID_PROC_PL7","Procedure for 'Diagnostic chemistry'"
"MEDICAID_PROC_PL8","Procedure for 'Hematology and coagulation'"
"MEDICAID_PROC_PL9","Procedure for 'Diagnostic immunology'"
"MEDICAID_PROC_R1","Procedure for 'Diagnostic radiology'"
"MEDICAID_PROC_R2","Procedure for 'Diagnostic ultrasound'"
"MEDICAID_PROC_R3","Procedure for 'Radiologic guidance'"
"MEDICAID_PROC_R4","Procedure for 'Breast mammography'"
"MEDICAID_PROC_R5","Procedure for 'Bone/joint studies'"
"MEDICAID_PROC_R6","Procedure for 'Radiation oncology'"
"MEDICAID_PROC_R7","Procedure for 'Nuclear medicine'"
"MEDICAID_PROC_S","Procedure for 'Medical or surgical supplies'"
"MEDICAID_PROC_S1","Procedure for 'Surgery: integumentary system'"
"MEDICAID_PROC_S11","Procedure for 'Surgery: female genital system'"
"MEDICAID_PROC_S12","Procedure for 'Surgery: maternity care and delivery'"
"MEDICAID_PROC_S13","Procedure for 'Surgery: endocrine system'"
"MEDICAID_PROC_S14","Procedure for 'Surgery: nervous system'"
"MEDICAID_PROC_S15","Procedure for 'Surgery: eye and ocular adnexa'"
"MEDICAID_PROC_S16","Procedure for 'Surgery: auditory system'"
"MEDICAID_PROC_S2","Procedure for 'Surgery: musculoskeletal system'"
"MEDICAID_PROC_S3","Procedure for 'Surgery: respiratory system'"
"MEDICAID_PROC_S4","Procedure for 'Surgery: cardiovascular system'"
"MEDICAID_PROC_S5","Procedure for 'Surgery: hemic and lymphatic systems'"
"MEDICAID_PROC_S6","Procedure for 'Surgery: mediastinum and diaphragm'"
"MEDICAID_PROC_S7","Procedure for 'Surgery: digestive system'"
"MEDICAID_PROC_S8","Procedure for 'Surgery: urinary system'"
"MEDICAID_PROC_S9","Procedure for 'Surgery: male genital system'"
"MEDICAID_PROC_T1","Procedure for 'Emergency transportation'"
"MEDICAID_PROC_T2","Procedure for 'Non-emergency transportation'"
"MEDICAID_REV_010","Revenue code for 'Room and Board - All-inclusive'"
"MEDICAID_REV_011","Revenue code for 'Room and Board - Private'"
"MEDICAID_REV_012","Revenue code for 'Room and Board - Semiprivate'"
"MEDICAID_REV_013","Revenue code for 'Room and Board - 3 to 4 Beds'"
"MEDICAID_REV_014","Revenue code for 'Room and Board - Deluxe Private'"
"MEDICAID_REV_015","Revenue code for 'Room and Board - Ward'"
"MEDICAID_REV_016","Revenue code for 'Room and Board - Other'"
"MEDICAID_REV_017","Revenue code for 'Nursery'"
"MEDICAID_REV_018","Revenue code for 'Leave of Absence'"
"MEDICAID_REV_019","Revenue code for 'Subacute Care'"
"MEDICAID_REV_020","Revenue code for 'Intensive Care Unit'"
"MEDICAID_REV_021","Revenue code for 'Coronary Care Unit'"
"MEDICAID_REV_022","Revenue code for 'Special Charges'"
